created_at,entry_id,temperature,humidity,CO2,occupancy
2025-04-01 10:00:00 UTC,1,28.3,52.8,114.92,0
2025-04-01 10:05:00 UTC,2,28.3,52.8,115.92,5
2025-04-01 10:10:00 UTC,3,28.3,52.8,115.52,3
2025-04-01 10:15:00 UTC,4,28.3,52.8,115.12,1
2025-04-01 10:20:00 UTC,5,28.3,52.8,114.92,0
2025-04-01 10:25:00 UTC,6,28.3,52.8,114.92,0
2025-04-01 10:30:00 UTC,7,28.3,52.8,114.92,0
2025-04-01 10:35:00 UTC,8,28.3,52.8,115.72,4
2025-04-01 10:40:00 UTC,9,28.3,52.8,115.32,2
2025-04-01 10:45:00 UTC,10,28.3,52.8,115.52,3
2025-04-01 10:50:00 UTC,11,28.3,52.8,114.92,0
2025-04-01 10:55:00 UTC,12,28.3,52.8,115.92,5
2025-04-01 11:00:00 UTC,13,28.3,52.8,115.72,4
2025-04-01 11:05:00 UTC,14,28.3,52.8,114.92,0
2025-04-01 11:10:00 UTC,15,28.3,52.8,114.92,0
2025-04-01 11:15:00 UTC,16,28.3,52.8,114.92,0
2025-04-01 11:20:00 UTC,17,28.3,52.8,114.92,0
2025-04-01 11:25:00 UTC,18,28.3,52.8,115.12,1
2025-04-01 11:30:00 UTC,19,28.3,52.8,114.92,0
2025-04-01 11:35:00 UTC,20,28.3,52.8,114.92,0
2025-04-01 11:40:00 UTC,21,28.3,52.8,115.32,2
2025-04-01 11:45:00 UTC,22,28.3,52.8,114.92,0
2025-04-01 11:50:00 UTC,23,28.3,52.8,114.92,0
2025-04-01 11:55:00 UTC,24,28.3,52.8,114.92,0
2025-04-02 10:00:00 UTC,25,28.3,52.8,114.92,0
2025-04-02 10:05:00 UTC,26,28.3,52.8,115.52,3
2025-04-02 10:10:00 UTC,27,28.3,52.8,114.92,0
2025-04-02 10:15:00 UTC,28,28.3,52.8,115.12,1
2025-04-02 10:20:00 UTC,29,28.3,52.8,115.12,1
2025-04-02 10:25:00 UTC,30,28.3,52.8,114.92,0
2025-04-02 10:30:00 UTC,31,28.3,52.8,115.32,2
