created_at,entry_id,field1,field2,field3,field4
2025-04-01 10:00:00 UTC,1,28.3,52.8,118.52,18
2025-04-01 10:05:00 UTC,2,28.3,52.8,119.12,21
2025-04-01 10:10:00 UTC,3,28.3,52.8,118.92,20
2025-04-01 10:15:00 UTC,4,28.3,52.8,120.52,28
2025-04-01 10:20:00 UTC,5,28.3,52.8,115.92,5
2025-04-01 10:25:00 UTC,6,28.3,52.8,116.92,10
2025-04-01 10:30:00 UTC,7,28.3,52.8,116.32000000000001,7
2025-04-01 10:35:00 UTC,8,28.3,52.8,117.92,15
2025-04-01 10:40:00 UTC,9,28.3,52.8,120.12,26
2025-04-01 10:45:00 UTC,10,28.3,52.8,115.72,4
2025-04-01 10:50:00 UTC,11,28.3,52.8,118.92,20
2025-04-01 10:55:00 UTC,12,28.3,52.8,115.72,4
2025-04-01 11:00:00 UTC,13,28.3,52.8,120.32000000000001,27
2025-04-01 11:05:00 UTC,14,28.3,52.8,119.52,23
2025-04-01 11:10:00 UTC,15,28.3,52.8,118.72,19
2025-04-01 11:15:00 UTC,16,28.3,52.8,116.72,9
2025-04-01 11:20:00 UTC,17,28.3,52.8,117.52,13
2025-04-01 11:25:00 UTC,18,28.3,52.8,117.52,13
2025-04-01 11:30:00 UTC,19,28.3,52.8,117.92,15
2025-04-01 11:35:00 UTC,20,28.3,52.8,118.12,16
2025-04-01 11:40:00 UTC,21,28.3,52.8,115.12,1
2025-04-01 11:45:00 UTC,22,28.3,52.8,120.52,28
2025-04-01 11:50:00 UTC,23,28.3,52.8,117.52,13
2025-04-01 11:55:00 UTC,24,28.3,52.8,120.52,28
2025-04-02 10:00:00 UTC,25,28.3,52.8,115.72,4
2025-04-02 10:05:00 UTC,26,28.3,52.8,118.72,19
2025-04-02 10:10:00 UTC,27,28.3,52.8,119.52,23
2025-04-02 10:15:00 UTC,28,28.3,52.8,119.72,24
2025-04-02 10:20:00 UTC,29,28.3,52.8,116.52,8
2025-04-02 10:25:00 UTC,30,28.3,52.8,118.92,20
2025-04-02 10:30:00 UTC,31,28.3,52.8,119.12,21
2025-04-02 10:35:00 UTC,32,28.3,52.8,118.12,16
2025-04-02 10:40:00 UTC,33,28.3,52.8,117.12,11
2025-04-02 10:45:00 UTC,34,28.3,52.8,117.92,15
2025-04-02 10:50:00 UTC,35,28.3,52.8,115.52,3
2025-04-02 10:55:00 UTC,36,28.3,52.8,118.92,20
2025-04-02 11:00:00 UTC,37,28.3,52.8,119.12,21
2025-04-02 11:05:00 UTC,38,28.3,52.8,115.12,1
2025-04-02 11:10:00 UTC,39,28.3,52.8,114.92,0
2025-04-02 11:15:00 UTC,40,28.3,52.8,118.92,20
2025-04-02 11:20:00 UTC,41,28.3,52.8,119.92,25
2025-04-02 11:25:00 UTC,42,28.3,52.8,117.52,13
2025-04-02 11:30:00 UTC,43,28.3,52.8,119.72,24
2025-04-02 11:35:00 UTC,44,28.3,52.8,117.72,14
2025-04-02 11:40:00 UTC,45,28.3,52.8,118.32000000000001,17
2025-04-02 11:45:00 UTC,46,28.3,52.8,115.92,5
2025-04-02 11:50:00 UTC,47,28.3,52.8,118.92,20
2025-04-02 11:55:00 UTC,48,28.3,52.8,119.72,24
2025-04-03 10:00:00 UTC,49,28.3,52.8,119.52,23
2025-04-03 10:05:00 UTC,50,28.3,52.8,116.12,6
2025-04-03 10:10:00 UTC,51,28.3,52.8,119.92,25
2025-04-03 10:15:00 UTC,52,28.3,52.8,120.72,29
2025-04-03 10:20:00 UTC,53,28.3,52.8,119.32000000000001,22
2025-04-03 10:25:00 UTC,54,28.3,52.8,117.52,13
2025-04-03 10:30:00 UTC,55,28.3,52.8,119.12,21
2025-04-03 10:35:00 UTC,56,28.3,52.8,120.12,26
2025-04-03 10:40:00 UTC,57,28.3,52.8,120.32000000000001,27
2025-04-03 10:45:00 UTC,58,28.3,52.8,119.92,25
2025-04-03 10:50:00 UTC,59,28.3,52.8,117.52,13
2025-04-03 10:55:00 UTC,60,28.3,52.8,115.32000000000001,2
2025-04-03 11:00:00 UTC,61,28.3,52.8,117.72,14
2025-04-03 11:05:00 UTC,62,28.3,52.8,119.92,25
2025-04-03 11:10:00 UTC,63,28.3,52.8,117.32000000000001,12
2025-04-03 11:15:00 UTC,64,28.3,52.8,117.92,15
2025-04-03 11:20:00 UTC,65,28.3,52.8,118.52,18
2025-04-03 11:25:00 UTC,66,28.3,52.8,117.92,15
2025-04-03 11:30:00 UTC,67,28.3,52.8,116.52,8
2025-04-03 11:35:00 UTC,68,28.3,52.8,115.72,4
2025-04-03 11:40:00 UTC,69,28.3,52.8,119.32000000000001,22
2025-04-03 11:45:00 UTC,70,28.3,52.8,115.32000000000001,2
2025-04-03 11:50:00 UTC,71,28.3,52.8,118.52,18
2025-04-03 11:55:00 UTC,72,28.3,52.8,116.92,10
2025-04-04 10:00:00 UTC,73,28.3,52.8,116.12,6
2025-04-04 10:05:00 UTC,74,28.3,52.8,118.92,20
2025-04-04 10:10:00 UTC,75,28.3,52.8,120.52,28
2025-04-04 10:15:00 UTC,76,28.3,52.8,120.72,29
2025-04-04 10:20:00 UTC,77,28.3,52.8,115.52,3
2025-04-04 10:25:00 UTC,78,28.3,52.8,114.92,0
2025-04-04 10:30:00 UTC,79,28.3,52.8,116.92,10
2025-04-04 10:35:00 UTC,80,28.3,52.8,118.92,20
2025-04-04 10:40:00 UTC,81,28.3,52.8,118.32000000000001,17
2025-04-04 10:45:00 UTC,82,28.3,52.8,114.92,0
2025-04-04 10:50:00 UTC,83,28.3,52.8,115.92,5
2025-04-04 10:55:00 UTC,84,28.3,52.8,116.12,6
2025-04-04 11:00:00 UTC,85,28.3,52.8,119.72,24
2025-04-04 11:05:00 UTC,86,28.3,52.8,119.32000000000001,22
2025-04-04 11:10:00 UTC,87,28.3,52.8,117.12,11
2025-04-04 11:15:00 UTC,88,28.3,52.8,115.32000000000001,2
2025-04-04 11:20:00 UTC,89,28.3,52.8,118.32000000000001,17
2025-04-04 11:25:00 UTC,90,28.3,52.8,118.12,16
2025-04-04 11:30:00 UTC,91,28.3,52.8,115.32000000000001,2
2025-04-04 11:35:00 UTC,92,28.3,52.8,120.32000000000001,27
2025-04-04 11:40:00 UTC,93,28.3,52.8,116.32000000000001,7
2025-04-04 11:45:00 UTC,94,28.3,52.8,119.92,25
2025-04-04 11:50:00 UTC,95,28.3,52.8,115.52,3
2025-04-04 11:55:00 UTC,96,28.3,52.8,117.12,11
